Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
PNPT1P1	polyribonucleotide nucleotidyltransferase 1 pseudogene 1		100288506
TUBB3P1	tubulin beta 3 class III pseudogene 1	NG_022360	100288513
ISCA1P2	iron-sulfur cluster assembly 1 pseudogene 2	NG_022828	100288517
USP17L15	ubiquitin specific peptidase 17 like family member 15	NM_001256894	100288520
FOXL3-OT1	FOXL3 overlapping transcript 1	NR_164665	100288524
REXO1L2P	REXO1 like 2, pseudogene	NR_003594	100288527
RPL14P6	RPL14 pseudogene 6	NG_030149	100288533
POM121B	POM121 transmembrane nucleoporin B (pseudogene)	NG_013116.1	100288540
FOLR3P1	folate receptor 3 pseudogene 1		100288543
C4orf46P4	C4orf46 pseudogene 4		100288558
MRPS18CP7	MRPS18C pseudogene 7		100288560
HMGB3P23	high mobility group box 3 pseudogene 23		100288563
ACTR3P1	ACTR3 pseudogene 1		100288580
CCDC34P1	coiled-coil domain containing 34 pseudogene 1		100288584
SNRPCP1	small nuclear ribonucleoprotein polypeptide C pseudogene 1	NG_013309	100288596
LINC00268-2P	long intergenic non-protein coding RNA 268-2, pseudogene		100288610
UBE2NP1	ubiquitin conjugating enzyme E2 N pseudogene 1	NG_031850	100288613
WHAMMP1	WHAMM pseudogene 1		100288615
NDUFB4P1	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 1	NG_030111	100288654
ZNF317P1	zinc finger protein 317 pseudogene 1	NG_022426	100288659
SUB1P4	SUB1 pseudogene 4		100288661
ARPC1BP1	ARPC1B pseudogene 1	NG_021551	100288663
CICP7	capicua transcriptional repressor pseudogene 7	NG_028822	100288667
DUX4	double homeobox 4		100288687
FAM21FP	family with sequence similarity 21 member F, pseudogene		100288690
HMGN2P8	high mobility group nucleosomal binding domain 2 pseudogene 8		100288691
LIMS4	LIM zinc finger domain containing 4	NM_001205288	100288695
ARL6IP1P1	ADP ribosylation factor like GTPase 6 interacting protein 1 pseudogene 1	NG_022838	100288702
DUX4L9	double homeobox 4 like 9 (pseudogene)		100288711
PMS2P10	PMS1 homolog 2, mismatch repair system component pseudogene 10	NG_023454	100288713
TRPC6P3	TRPC6 pseudogene 3		100288724
HSPE1P20	heat shock protein family E (Hsp10) member 1 pseudogene 20		100288726
PAN3-AS1	PAN3 antisense RNA 1	NR_029383	100288730
SPCS2P3	signal peptidase complex subunit 2 pseudogene 3	NG_021874	100288739
H2BC2P	H2B clustered histone 2, pseudogene	NG_027974	100288742
LINC02894	long intergenic non-protein coding RNA 2894	NR_034034	100288748
SUMO2P4	SUMO2 pseudogene 4		100288757
PFDN1P2	PFDN1 pseudogene 2	NG_030221	100288771
CCT7P2	chaperonin containing TCP1 subunit 7 pseudogene 2	NG_008698	100288772
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10		100288774
WASH8P	WAS protein family homolog 8, pseudogene		100288778
UQCRBP3	ubiquinol-cytochrome c reductase binding protein pseudogene 3		100288785
RBMXP5	RBMX pseudogene 5	NG_022607	100288788
TMEM239	transmembrane protein 239		100288797
SLC38A4-AS1	SLC38A4 antisense RNA 1		100288798
FRG2C	FSHD region gene 2 family member C	NM_001124759.1	100288801
RPL23AP93	ribosomal protein L23a pseudogene 93		100288802
HYDIN2	HYDIN axonemal central pair apparatus protein 2 (pseudogene)	NR_103556	100288805
CDC27P8	cell division cycle 27 pseudogene 8		100288806
CLDN34	claudin 34		100288814
TTC39CP1	tetratricopeptide repeat domain 39C pseudogene 1		100288825
CYP4F25P	cytochrome P450 family 4 subfamily F member 25, pseudogene		100288827
SRGAP3-AS3	SRGAP3 antisense RNA 3		100288831
RBPJP5	RBPJ pseudogene 5	NG_013296	100288841
B3GALT9	beta-1,3-galactosyltransferase 9		100288842
NAPGP1	N-ethylmaleimide-sensitive factor attachment protein, gamma pseudogene 1	NG_022185	100288843
MIA2-AS1	MIA2 antisense RNA 1		100288846
TRMT112P1	tRNA methyltransferase subunit 11-2 pseudogene 1		100288861
NGFR-AS1	NGFR antisense RNA 1	NR_103773	100288866
KRT18P63	keratin 18 pseudogene 63		100288868
ERLEC1P1	endoplasmic reticulum lectin 1 pseudogene 1		100288870
DYNLL1P6	dynein light chain LC8-type 1 pseudogene 6		100288885
COX6CP4	cytochrome c oxidase subunit 6C pseudogene 4	NG_012732	100288892
FAR2P3	fatty acyl-CoA reductase 2 pseudogene 3		100288897
CICP11	capicua transcriptional repressor pseudogene 11		100288904
CRIM1-DT	CRIM1 divergent transcript	NR_037631	100288911
TMEM258P1	TMEM258 pseudogene 1		100288935
BRD7P1	bromodomain containing 7 pseudogene 1		100288948
MTND1P25	MT-ND1 pseudogene 25		100288950
PRSS43P	serine protease 43, pseudogene		100288960
FABP5P5	fatty acid binding protein 5 pseudogene 5		100288964
ADI1P2	acireductone dioxygenase 1 pseudogene 2		100288971
BMS1P21	BMS1 pseudogene 21		100288974
DCAF13P2	DDB1 and CUL4 associated factor 13 pseudogene 2		100288979
MTND1P3	MT-ND1 pseudogene 3		100288984
MTND1P15	MT-ND1 pseudogene 15		100288998
ACTR3BP7	ACTR3B pseudogene 7		100289004
MOXD2P	monooxygenase DBH like 2, pseudogene	NR_024346	100289017
SLC25A25-AS1	SLC25A25 antisense RNA 1	NR_033374	100289019
CDK2AP2P1	cyclin dependent kinase 2 associated protein 2 pseudogene 1	NG_021654	100289027
BNIP3P4	BCL2 interacting protein 3 pseudogene 4	NG_021623	100289028
RPL23AP88	ribosomal protein L23a pseudogene 88		100289034
DNAJB6P2	DNAJB6 pseudogene 2		100289047
CYB5AP5	cytochrome b5 type A pseudogene 5		100289051
DMAC1P1	DMAC1 pseudogene 1		100289059
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2		100289061
TSPY10	testis specific protein Y-linked 10	NM_001320962	100289087
ATP2A1-AS1	ATP2A1 antisense RNA 1	NR_046287	100289092
BCL2L12P1	BCL2 like 12 pseudogene 1	NG_022270	100289095
FRG1CP	FSHD region gene 1 family member C, pseudogene		100289097
LINC03011	long intergenic non-protein coding RNA 3011	NR_134570	100289098
RPL30P16	ribosomal protein L30 pseudogene 16		100289099
EIF4A1P8	eukaryotic translation initiation factor 4A1 pseudogene 8	NG_022188	100289102
MTCH2P1	MTCH2 pseudogene 1	NG_022219	100289118
FAM27E2	family with sequence similarity 27 member E2	NR_103714	100289124
COX6CP6	cytochrome c oxidase subunit 6C pseudogene 6		100289131
KRT8P32	keratin 8 pseudogene 32		100289133
FAM95C	family with sequence similarity 95 member C	NR_047651	100289137
H3P20	H3 histone pseudogene 20	NG_030069	100289141
FAM197Y5	family with sequence similarity 197 Y-linked member 5	NR_046300	100289150
HMGB3P13	high mobility group box 3 pseudogene 13	NG_022274	100289158
COX20P2	COX20 pseudogene 2		100289170
GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	NR_040077	100289178
RPL22P23	ribosomal protein L22 pseudogene 23		100289184
SDHDP1	succinate dehydrogenase complex subunit D pseudogene 1		100289186
TMEM225B	transmembrane protein 225B		100289187
FAM197Y4	family with sequence similarity 197 Y-linked member 4	NR_145470	100289188
HMGN3P1	high mobility group nucleosomal binding domain 3 pseudogene 1		100289191
LINC00624	long intergenic non-protein coding RNA 624		100289211
LTV1P1	LTV1 ribosome biogenesis factor pseudogene 1		100289220
CEP164P1	centrosomal protein 164 pseudogene 1	NG_032712	100289237
PPIAP79	peptidylprolyl isomerase A pseudogene 79		100289244
TMEM238L	transmembrane protein 238 like	NM_001388428	100289255
ZFYVE9P1	zinc finger FYVE-type containing 9 pseudogene 1	NG_022707	100289259
RPL7P60	ribosomal protein L7 pseudogene 60		100289264
FAM197Y1	family with sequence similarity 197 Y-linked member 1		100289265
DNAJC3-DT	DNAJC3 divergent transcript	NR_132117	100289274
CNTNAP3C	contactin associated protein family member 3C		100289279
CUBNP2	cubilin pseudogene 2		100289280
HNRNPA1P58	heterogeneous nuclear ribonucleoprotein A1 pseudogene 58		100289286
NUP58P1	nucleoporin 58 pseudogene 1		100289295
HIGD1AP5	HIG1 hypoxia inducible domain family member 1A pseudogene 5		100289300
TUBAP12	tubulin alpha pseudogene 12		100289303
NME2P2	NME2 pseudogene 2	NG_021562	100289315
KRT8P43	keratin 8 pseudogene 43		100289319
MAN1B1-DT	MAN1B1 divergent transcript	NR_027447	100289341
IGSF3P2	IGSF3 pseudogene 2		100289350
HIGD2AP1	HIGD2A pseudogene 1	NG_030143	100289360
MTCO3P22	MT-CO3 pseudogene 22		100289371
UBAC2-AS1	UBAC2 antisense RNA 1		100289373
PTP4A1P5	PTP4A1 pseudogene 5		100289380
CICP25	capicua transcriptional repressor pseudogene 25		100289383
KCTD21-AS1	KCTD21 antisense RNA 1		100289388
MTCO2P22	MT-CO2 pseudogene 22		100289404
MCF2L-AS1	MCF2L antisense RNA 1		100289410
PHB1P9	PHB1 pseudogene 9		100289414
CTF2P	cardiotrophin 2, pseudogene	NG_005797	100289419
PHF5AP7	PHF5A pseudogene 7	NG_030106	100289442
REXO1L12P	REXO1 like 12, pseudogene		100289448
SLC7A15P	solute carrier family 7 member 15, pseudogene		100289450
DEFB4B	defensin beta 4B		100289462
LDHBP1	lactate dehydrogenase B pseudogene 1	NG_021974	100289475
MICOS10P2	MICOS10 pseudogene 2		100289489
FTLP11	ferritin light chain pseudogene 11	NG_023157	100289501
KCNIP2-AS1	KCNIP2 antisense RNA 1		100289509
H3C9P	H3 clustered histone 9, pseudogene	NG_029540	100289545
SNRPCP18	small nuclear ribonucleoprotein polypeptide C pseudogene 18	NG_013311	100289564
HERC2P4	HERC2 pseudogene 4	NR_002827	100289574
NDUFA5P9	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 9		100289579
DUX4L13	double homeobox 4 like 13 (pseudogene)	NG_012773	100289581
NPM1P40	nucleophosmin 1 pseudogene 40	NG_022825	100289584
HIGD1AP15	HIG1 hypoxia inducible domain family member 1A pseudogene 15		100289605
HSPE1P22	heat shock protein family E (Hsp10) member 1 pseudogene 22		100289607
TRIAP1P1	TP53 regulated inhibitor of apoptosis 1 pseudogene 1		100289619
UBE2V1P14	UBE2V1 pseudogene 14		100289623
ZNF605	zinc finger protein 605	NM_183238	100289635
PPATP1	phosphoribosyl pyrophosphate amidotransferase pseudogene 1		100289640
HSPA8P16	heat shock protein family A (Hsp70) member 8 pseudogene 16	NG_022569	100289643
PRR13P7	proline rich 13 pseudogene 7		100289644
PSG8-AS1	PSG8 antisense RNA 1		100289650
COX6B1P5	cytochrome c oxidase subunit 6B1 pseudogene 5		100289662
STMN1P2	stathmin 1 pseudogene 2		100289663
POLR3KP1	RNA polymerase III subunit K pseudogene 1	NG_023354	100289667
LINC01848	long intergenic non-protein coding RNA 1848	NR_033175	100289673
ZNF783	zinc finger protein 783	NM_001195220	100289678
HMGN2P13	high mobility group nucleosomal binding domain 2 pseudogene 13		100289682
ERVH-3	endogenous retrovirus group H member 3		100289683
RBM38-AS1	RBM38 antisense RNA 1	NR_149006	100291105
HSPE1P8	heat shock protein family E (Hsp10) member 1 pseudogene 8		100292290
LINC00942	long intergenic non-protein coding RNA 942	NR_028415	100292680
MTND4P12	MT-ND4 pseudogene 12		100293090
ZNF587B	zinc finger protein 587B	NM_001204818	100293516
C4B_2	complement component 4B (Chido blood group), copy 2	NM_001242823	100293534
ATG12P2	autophagy related 12 pseudogene 2	NG_016651	100293948
RNF213-AS1	RNF213 antisense RNA 1	NR_029376	100294362
NHEG1	neuroblastoma highly expressed DDX5 stabilizing lncRNA 1	NR_027994	100294720
DDX11L8	DEAD/H-box helicase 11 like 8 (pseudogene)	NG_029416	100302090
MIR1184-1	microRNA 1184-1	NR_036049	100302111
MIR1284	microRNA 1284	NR_031697	100302112
MIR1200	microRNA 1200	NR_031604	100302113
MIR513C	microRNA 513c	NR_031709	100302114
MIR1468	microRNA 1468	NR_031567	100302115
MIR1265	microRNA 1265	NR_031668	100302116
MIR320B1	microRNA 320b-1	NR_031564	100302117
MIR1286	microRNA 1286	NR_031618	100302118
MIR1538	microRNA 1538	NR_031719	100302119
MIR1276	microRNA 1276	NR_031682	100302121
MIR1183	microRNA 1183	NR_031594	100302122
MIR1275	microRNA 1275	NR_031681	100302123
MIR1288	microRNA 1288	NR_031698	100302124
MIR1289-1	microRNA 1289-1	NR_031620	100302125
MIR1471	microRNA 1471	NR_031717	100302126
MIR1470	microRNA 1470	NR_031716	100302127
MIR1302-3	microRNA 1302-3	NR_031632	100302128
MIR1915	microRNA 1915	NR_031736	100302129
MIR1302-4	microRNA 1302-4	NR_031633	100302130
MIR302F	microRNA 302f	NR_031684	100302131
MIR1182	microRNA 1182	NR_031593	100302132
MIR1287	microRNA 1287	NR_031619	100302133
MIR1289-2	microRNA 1289-2	NR_031621	100302134
MIR320C1	microRNA 320c-1	NR_031565	100302135
MIR1252	microRNA 1252	NR_031700	100302136
MIR1914	microRNA 1914	NR_031735	100302137
MIR1292	microRNA 1292	NR_031699	100302138
MIR1537	microRNA 1537	NR_031718	100302139
MIR1302-6	microRNA 1302-6	NR_031635	100302140
MIR1913	microRNA 1913	NR_031734	100302141
MIR1246	microRNA 1246	NR_031648	100302142
MIR1248	microRNA 1248	NR_031650	100302143
MIR1912	microRNA 1912	NR_031733	100302144
MIR1247	microRNA 1247	NR_031649	100302145
MIR1302-5	microRNA 1302-5	NR_031634	100302146
MIR1302-7	microRNA 1302-7	NR_031636	100302147
MIR1263	microRNA 1263	NR_031665	100302148
MIR1249	microRNA 1249	NR_031651	100302149
MIR1296	microRNA 1296	NR_031566	100302150
MIR548N	microRNA 548n	NR_031666	100302152
MIR1298	microRNA 1298	NR_031578	100302153
MIR1256	microRNA 1256	NR_031657	100302155
MIR1229	microRNA 1229	NR_031598	100302156
MIR1185-1	microRNA 1185-1	NR_031575	100302157
MIR1231	microRNA 1231	NR_031599	100302158
MIR548F3	microRNA 548f-3	NR_031644	100302159
MIR1233-1	microRNA 1233-1	NR_036050	100302160
MIR1205	microRNA 1205	NR_031610	100302161
MIR1278	microRNA 1278	NR_031691	100302163
MIR2113	microRNA 2113	NR_031579	100302164
MIR1322	microRNA 1322	NR_031711	100302166
MIR1299	microRNA 1299	NR_031629	100302167
MIR1257	microRNA 1257	NR_031658	100302168
MIR320D2	microRNA 320d-2	NR_031725	100302169
MIR1206	microRNA 1206	NR_031611	100302170
MIR1321	microRNA 1321	NR_031710	100302171
MIR1258	microRNA 1258	NR_031659	100302172
MIR1307	microRNA 1307	NR_031707	100302174
MIR1207	microRNA 1207	NR_031612	100302175
MIR1269A	microRNA 1269a	NR_031673	100302177
MIR1295A	microRNA 1295a	NR_031627	100302178
MIR1270	microRNA 1270	NR_036053	100302179
MIR1294	microRNA 1294	NR_031626	100302181
MIR1279	microRNA 1279	NR_031692	100302182
MIR1825	microRNA 1825	NR_031726	100302183
MIR1272	microRNA 1272	NR_031674	100302184
MIR1204	microRNA 1204	NR_031609	100302185
MIR548I3	microRNA 548i-3	NR_031689	100302186
MIR1297	microRNA 1297	NR_031628	100302187
MIR1243	microRNA 1243	NR_031641	100302188
MIR1976	microRNA 1976	NR_031740	100302190
MIR548I4	microRNA 548i-4	NR_031690	100302191
MIR548F1	microRNA 548f-1	NR_031642	100302192
MIR1255A	microRNA 1255a	NR_031656	100302193
MIR320C2	microRNA 320c-2	NR_031724	100302195
MIR1234	microRNA 1234	NR_031600	100302196
MIR1306	microRNA 1306	NR_031706	100302197
MIR1228	microRNA 1228	NR_031597	100302201
MIR1266	microRNA 1266	NR_031670	100302202
MIR1271	microRNA 1271	NR_031569	100302203
MIR548I1	microRNA 548i-1	NR_031687	100302204
MIR1283-2	microRNA 1283-2	NR_031696	100302205
MIR1253	microRNA 1253	NR_031654	100302208
MIR1185-2	microRNA 1185-2	NR_031571	100302209
MIR1909	microRNA 1909	NR_031730	100302210
MIR1203	microRNA 1203	NR_031607	100302211
MIR1324	microRNA 1324	NR_031714	100302212
MIR1181	microRNA 1181	NR_031592	100302213
MIR1277	microRNA 1277	NR_031685	100302214
MIR1827	microRNA 1827	NR_031728	100302217
MIR1285-1	microRNA 1285-1	NR_031616	100302218
MIR1245A	microRNA 1245a	NR_031647	100302219
MIR1293	microRNA 1293	NR_031625	100302220
MIR1291	microRNA 1291	NR_031623	100302221
MIR1911	microRNA 1911	NR_031732	100302222
MIR1302-8	microRNA 1302-8	NR_031637	100302223
MIR2110	microRNA 2110	NR_031747	100302224
MIR2053	microRNA 2053	NR_031745	100302225
MIR1238	microRNA 1238	NR_031603	100302226
MIR1302-1	microRNA 1302-1	NR_031631	100302227
MIR1261	microRNA 1261	NR_031663	100302228
MIR1250	microRNA 1250	NR_031652	100302229
MIR1226	microRNA 1226	NR_031595	100302232
MIR1268A	microRNA 1268a	NR_031672	100302233
MIR664A	microRNA 664a	NR_031705	100302234
MIR1179	microRNA 1179	NR_031590	100302235
MIR1260A	microRNA 1260a	NR_031661	100302236
MIR1281	microRNA 1281	NR_031694	100302237
MIR103B1	microRNA 103b-1	NR_031721	100302238
MIR548F5	microRNA 548f-5	NR_031646	100302239
MIR1304	microRNA 1304	NR_031639	100302240
MIR1236	microRNA 1236	NR_031601	100302242
MIR1972-1	microRNA 1972-1	NR_036054	100302243
MIR1301	microRNA 1301	NR_031570	100302246
MIR1197	microRNA 1197	NR_031713	100302250
MIR1264	microRNA 1264	NR_031563	100302251
MIR1282	microRNA 1282	NR_031695	100302254
MIR1323	microRNA 1323	NR_031568	100302255
MIR1180	microRNA 1180	NR_031591	100302256
MIR1539	microRNA 1539	NR_031720	100302257
MIR1469	microRNA 1469	NR_031715	100302258
MIR1202	microRNA 1202	NR_031606	100302259
MIR2052	microRNA 2052	NR_031744	100302260
MIR1910	microRNA 1910	NR_031731	100302261
MIR1908	microRNA 1908	NR_031729	100302263
MIR1283-1	microRNA 1283-1	NR_031573	100302265
MIR2054	microRNA 2054	NR_031746	100302267
MIR1285-2	microRNA 1285-2	NR_031617	100302268
MIR1305	microRNA 1305	NR_031640	100302270
MIR1178	microRNA 1178	NR_031589	100302274
MIR548L	microRNA 548l	NR_031630	100302275
MIR1290	microRNA 1290	NR_031622	100302276
MIR548I2	microRNA 548i-2	NR_031688	100302277
MIR1302-2	microRNA 1302-2	NR_036051	100302278
MIR1262	microRNA 1262	NR_031664	100302279
MIR1237	microRNA 1237	NR_031602	100302280
MIR1208	microRNA 1208	NR_031613	100302281
MIR103B2	microRNA 103b-2	NR_031722	100302282
MIR1227	microRNA 1227	NR_031596	100302283
MIR1303	microRNA 1303	NR_031638	100302284
MIR1244-1	microRNA 1244-1	NR_036052	100302285
MIR1267	microRNA 1267	NR_031671	100302286
MIR548H3	microRNA 548h-3	NR_031679	100302287
MIR548P	microRNA 548p	NR_031686	100302288
MIR1251	microRNA 1251	NR_031653	100302289
MIR1973	microRNA 1973	NR_031737	100302290
RASAL2-AS1	RASAL2 antisense RNA 1	NR_027982	100302401
PTCSC1	papillary thyroid carcinoma susceptibility candidate 1		100302522
FAM41AY2	family with sequence similarity 41 member A, Y-linked 2	NR_028084	100302526
LINC00882	long intergenic non-protein coding RNA 882	NR_028303	100302640
BABAM2-AS1	BABAM2 antisense RNA 1	NR_028308	100302650
GPR75-ASB3	GPR75-ASB3 readthrough		100302652
DDX11L3	DEAD/H-box helicase 11 like 3 (pseudogene)		100302657
CSPG4P13	chondroitin sulfate proteoglycan 4 pseudogene 13		100302666
GPN3P1	GPN-loop GTPase 3 pseudogene 1	NG_012769	100302689
DLG2-AS1	DLG2 antisense RNA 1		100302690
LINC00184	long intergenic non-protein coding RNA 184		100302691
FTX	FTX transcript, XIST regulator	NR_028379	100302692
TMED7-TICAM2	TMED7-TICAM2 readthrough	NM_001164468	100302736
ZNF861P	zinc finger protein 861, pseudogene		100302737
RNU6-21P	RNA, U6 small nuclear 21, pseudogene	NR_028369	100302738
PCNA-AS1	PCNA antisense RNA 1	NR_028370	100302739
FAS-AS1	FAS antisense RNA 1	NR_028371	100302740
RNU6-15P	RNA, U6 small nuclear 15, pseudogene	NR_028372	100302741
RNU6-42P	RNA, U6 small nuclear 42, pseudogene	NR_028373	100302742
SNORA80B	small nucleolar RNA, H/ACA box 80B	NR_028374	100302743
NCRUPAR	non-protein coding RNA, upstream of F2R/PAR1	NR_028375	100302746
NCLP1	nucleolin pseudogene 1	NG_012793	100302751
TSNAX-DISC1	TSNAX-DISC1 readthrough (NMD candidate)		100303453
ZEB2-AS1	ZEB2 antisense RNA 1	NR_040248	100303491
SLC25A5-AS1	SLC25A5 antisense RNA 1	NR_028443	100303728
LSM3P5	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 5		100303743
LSM3P2	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 2		100303745
LSM3P1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 1	NG_012904	100303748
PET117	PET117 cytochrome c oxidase chaperone	NM_001164811	100303755
PITPNA-AS1	PITPNA antisense RNA 1	NR_028514	100306951
NDUFAF4P1	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 1	NR_036507	100306975
CHMP4BP1	charged multivesicular body protein 4B pseudogene 1		100307126
OTX2-AS1	OTX2 antisense RNA 1 (head to head)	NR_029385	100309464
SPDYE2B	speedy/RINGO cell cycle regulator family member E2B		100310812
VDAC1P3	voltage dependent anion channel 1 pseudogene 3	NG_013287	100310838
VDAC1P7	voltage dependent anion channel 1 pseudogene 7	NG_013290	100310839
VDAC1P8	voltage dependent anion channel 1 pseudogene 8	NG_013291	100310840
VDAC1P11	voltage dependent anion channel 1 pseudogene 11	NG_013294	100310841
RBPJP1	RBPJ pseudogene 1	NG_013295	100310842
ANKRD61	ankyrin repeat domain 61		100310846
SNRPCP4	small nuclear ribonucleoprotein polypeptide C pseudogene 4	NG_013310	100310848
SNRPCP19	small nuclear ribonucleoprotein polypeptide C pseudogene 19	NG_013312	100310849
SNRPCP11	small nuclear ribonucleoprotein polypeptide C pseudogene 11	NG_013313	100310850
SNRPCP8	small nuclear ribonucleoprotein polypeptide C pseudogene 8	NG_013326	100310851
SNRPCP7	small nuclear ribonucleoprotein polypeptide C pseudogene 7	NG_013316	100310852
SNRPCP9	small nuclear ribonucleoprotein polypeptide C pseudogene 9	NG_013317	100310853
SNRPCP12	small nuclear ribonucleoprotein polypeptide C pseudogene 12	NG_013318	100310854
SNRPCP14	small nuclear ribonucleoprotein polypeptide C pseudogene 14	NG_013319	100310855
SNRPCP6	small nuclear ribonucleoprotein polypeptide C pseudogene 6	NG_013320	100310856
SNRPCP15	small nuclear ribonucleoprotein polypeptide C pseudogene 15	NG_013321	100310857
IGKV2OR2-7D	immunoglobulin kappa variable 2/OR2-7D (pseudogene)		100310869
VN1R56P	vomeronasal 1 receptor 56 pseudogene	NG_015632	100312774
VN1R20P	vomeronasal 1 receptor 20 pseudogene		100312775
VN1R24P	vomeronasal 1 receptor 24 pseudogene		100312781
VN1R25P	vomeronasal 1 receptor 25 pseudogene		100312782
VN1R26P	vomeronasal 1 receptor 26 pseudogene		100312783
VN1R27P	vomeronasal 1 receptor 27 pseudogene		100312784
VN1R28P	vomeronasal 1 receptor 28 pseudogene		100312785
VN1R29P	vomeronasal 1 receptor 29 pseudogene		100312786
VN1R31P	vomeronasal 1 receptor 31 pseudogene	NG_015645	100312787
VN1R32P	vomeronasal 1 receptor 32 pseudogene	NG_015646	100312788
VN1R35P	vomeronasal 1 receptor 35 pseudogene	NG_015647	100312789
VN1R36P	vomeronasal 1 receptor 36 pseudogene	NG_015648	100312790
VN1R39P	vomeronasal 1 receptor 39 pseudogene	NG_015649	100312791
VN1R40P	vomeronasal 1 receptor 40 pseudogene	NG_015650	100312792
VN1R41P	vomeronasal 1 receptor 41 pseudogene	NG_015651	100312793
VN1R42P	vomeronasal 1 receptor 42 pseudogene	NG_015652	100312794
VN1R43P	vomeronasal 1 receptor 43 pseudogene	NG_015653	100312795
VN1R45P	vomeronasal 1 receptor 45 pseudogene	NG_015654	100312796
VN1R47P	vomeronasal 1 receptor 47 pseudogene	NG_015655	100312797
VN1R48P	vomeronasal 1 receptor 48 pseudogene	NG_015656	100312798
VN1R49P	vomeronasal 1 receptor 49 pseudogene	NG_015657	100312799
VN1R51P	vomeronasal 1 receptor 51 pseudogene	NG_015659	100312801
VN1R52P	vomeronasal 1 receptor 52 pseudogene	NG_015660	100312802
VN1R110P	vomeronasal 1 receptor 110 pseudogene		100312803
VN1R15P	vomeronasal 1 receptor 15 pseudogene		100312804
VN1R16P	vomeronasal 1 receptor 16 pseudogene	NG_015663	100312805
VN1R53P	vomeronasal 1 receptor 53 pseudogene	NG_015664	100312806
VN1R54P	vomeronasal 1 receptor 54 pseudogene	NG_015665	100312807
VN1R55P	vomeronasal 1 receptor 55 pseudogene	NG_015666	100312808
VN1R57P	vomeronasal 1 receptor 57 pseudogene	NG_015667	100312809
VN1R58P	vomeronasal 1 receptor 58 pseudogene	NG_015668	100312810
VN1R59P	vomeronasal 1 receptor 59 pseudogene	NG_015669	100312811
VN1R60P	vomeronasal 1 receptor 60 pseudogene	NG_015670	100312812
VN1R61P	vomeronasal 1 receptor 61 pseudogene	NG_015671	100312813
VN1R62P	vomeronasal 1 receptor 62 pseudogene	NG_015672	100312814
VN1R63P	vomeronasal 1 receptor 63 pseudogene	NG_015673	100312815
VN1R69P	vomeronasal 1 receptor 69 pseudogene	NG_015674	100312816
VN1R71P	vomeronasal 1 receptor 71 pseudogene	NG_015675	100312817
VN1R73P	vomeronasal 1 receptor 73 pseudogene	NG_015676	100312818
VN1R74P	vomeronasal 1 receptor 74 pseudogene	NG_015677	100312819
VN1R75P	vomeronasal 1 receptor 75 pseudogene	NG_015678	100312820
VN1R76P	vomeronasal 1 receptor 76 pseudogene		100312821
VN1R77P	vomeronasal 1 receptor 77 pseudogene	NG_015680	100312822
VN1R78P	vomeronasal 1 receptor 78 pseudogene		100312823
VN1R79P	vomeronasal 1 receptor 79 pseudogene	NG_015682	100312824
VN1R80P	vomeronasal 1 receptor 80 pseudogene	NG_015683	100312825
VN1R81P	vomeronasal 1 receptor 81 pseudogene		100312826
VN1R82P	vomeronasal 1 receptor 82 pseudogene	NG_015685	100312827
VN1R83P	vomeronasal 1 receptor 83 pseudogene	NG_015686	100312828
VN1R84P	vomeronasal 1 receptor 84 pseudogene	NG_015687	100312829
VN1R85P	vomeronasal 1 receptor 85 pseudogene	NG_015688	100312830
VN1R86P	vomeronasal 1 receptor 86 pseudogene	NG_015689	100312831
VN1R87P	vomeronasal 1 receptor 87 pseudogene	NG_015690	100312832
VN1R88P	vomeronasal 1 receptor 88 pseudogene	NG_015691	100312833
VN1R89P	vomeronasal 1 receptor 89 pseudogene	NG_015692	100312834
VN1R90P	vomeronasal 1 receptor 90 pseudogene		100312835
VN1R91P	vomeronasal 1 receptor 91 pseudogene	NG_015694	100312836
VN1R92P	vomeronasal 1 receptor 92 pseudogene		100312837
VN1R93P	vomeronasal 1 receptor 93 pseudogene		100312838
VN1R94P	vomeronasal 1 receptor 94 pseudogene		100312839
VN1R97P	vomeronasal 1 receptor 97 pseudogene		100312840
VN1R98P	vomeronasal 1 receptor 98 pseudogene		100312841
VN1R99P	vomeronasal 1 receptor 99 pseudogene		100312842
VN1R19P	vomeronasal 1 receptor 19 pseudogene		100312843
VN1R22P	vomeronasal 1 receptor 22 pseudogene		100312844
VN1R23P	vomeronasal 1 receptor 23 pseudogene		100312845
VN1R100P	vomeronasal 1 receptor 100 pseudogene		100312846
VN1R102P	vomeronasal 1 receptor 102 pseudogene		100312847
VN1R106P	vomeronasal 1 receptor 106 pseudogene		100312848
VN1R107P	vomeronasal 1 receptor 107 pseudogene		100312849
VN1R108P	vomeronasal 1 receptor 108 pseudogene		100312850
